INFO - werkzeug - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8000
 * Running on http://10.88.0.3:8000
INFO - werkzeug - [33mPress CTRL+C to quit[0m
WARNING - werkzeug -  * Debugger is active!
INFO - werkzeug -  * Debugger PIN: 113-951-366
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/fINFO - werkzeug -  * Restarting with watchdog (inotify)
OPEN, cookie=0, name='templates'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/templates', wd=2, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/static', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name='static'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/static', wd=3, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name='logs'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs', wd=4, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
DEBUG - watchdog.observers.inotify_buffer - in-event <InotifyEvent: src_path=b'/home/rianne_bonitto/flask_e2e_project/app/logs/app.log', wd=4, mask=IN_MODIFY, cookie=0, name='app.log'>
