Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Desc,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2021,State,Alabama,Totals,Overall,"16,377","9,653","1,700,995","28,366,581",6.00%,-1.47%,-0.20%,"115,986",6.82%,-3.14%,-0.40%
2021,State,Alaska,Totals,Overall,"2,872","1,847","83,652","1,711,086",4.89%,-2.05%,0.14%,"13,679",16.35%,-2.94%,-0.20%
2021,State,Arizona,Totals,Overall,"27,033","16,049","1,261,909","26,432,513",4.77%,-1.82%,-0.18%,"153,263",12.15%,-4.21%,-0.70%
2021,State,Arkansas,Totals,Overall,"10,297","7,239","932,572","17,715,122",5.26%,-1.13%,-0.14%,"61,237",6.57%,-3.23%,-0.59%
2021,State,California,Totals,Overall,"131,565","78,983","5,310,187","136,568,726",3.89%,-1.18%,-0.13%,"506,513",9.54%,-2.83%,-0.73%
2021,State,Colorado,Totals,Overall,"22,175","15,254","929,751","17,688,807",5.26%,-1.85%,-0.17%,"116,976",12.58%,-3.38%,-0.50%
2021,State,Connecticut,Totals,Overall,"18,379","10,380","545,364","16,930,762",3.22%,-0.92%,-0.06%,"71,939",13.19%,-3.56%,-0.78%
2021,State,Delaware,Totals,Overall,"3,913","2,436","179,027","4,423,646",4.05%,-1.96%,-0.08%,"29,732",16.61%,-2.51%,-0.33%
2021,State,"District of Columbia",Totals,Overall,"4,919","2,822","61,183","1,982,997",3.09%,-1.14%,-0.19%,"5,499",8.99%,-1.68%,-1.66%
2021,State,Florida,Totals,Overall,"84,535","46,407","4,710,619","113,822,866",4.14%,-1.07%,-0.18%,"545,906",11.59%,-2.68%,-0.82%
2021,State,Georgia,Totals,Overall,"33,802","21,517","2,350,170","46,468,573",5.06%,-0.91%,-0.11%,"213,685",9.09%,-1.48%,-0.49%
2021,State,Hawaii,Totals,Overall,"4,747","2,905","136,544","4,213,956",3.24%,-0.61%,-0.10%,"14,253",10.44%,-3.62%,-1.30%
2021,State,Idaho,Totals,Overall,"6,677","4,544","387,528","7,066,606",5.48%,-1.84%,-0.21%,"46,932",12.11%,-4.65%,-0.93%
2021,State,Illinois,Totals,Overall,"50,157","31,554","1,931,928","51,827,342",3.73%,-0.95%,-0.09%,"138,184",7.15%,-3.38%,-0.60%
2021,State,Indiana,Totals,Overall,"24,677","16,043","1,680,310","34,343,323",4.89%,-1.24%,-0.15%,"141,850",8.44%,-3.91%,-0.74%
2021,State,Iowa,Totals,Overall,"12,250","7,550","585,639","16,615,905",3.52%,-1.01%,-0.03%,"57,476",9.81%,-4.27%,-0.91%
2021,State,Kansas,Totals,Overall,"10,694","7,358","675,824","14,192,994",4.76%,-1.15%,-0.22%,"69,733",10.32%,-4.55%,-0.93%
